psraid,sample,state,cregion,usr,pial1a,pial2,pial3a,pial3b,pial3c,employ,par,sex,age,educ2,hisp,race,inc
1,Landline,Indiana,Midwest,Suburban,No,NA,NA,NA,NA,Not employed,No,Male,62,"Some college, no degree (includes some community college)",No,White,"$10,000 to under $20,000"
2,Landline,Indiana,Midwest,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,85,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,Black or African-American,"Less than $10,000"
3,Landline,Ohio,Midwest,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,41,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$30,000 to under $40,000"
4,Landline,Maryland,South,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,19,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$75,000 to under $100,000"
5,Landline,Pennsylvania,Northeast,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,84,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"$10,000 to under $20,000"
6,Landline,New York,Northeast,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,84,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
7,Landline,Pennsylvania,Northeast,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,55,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
8,Landline,Indiana,Midwest,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,No,Female,51,High school graduate (Grade 12 with diploma or GED certificate),No,White,(DO NOT READ) Donêt know/Refused
9,Landline,North Carolina,South,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,58,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$10,000 to under $20,000"
10,Landline,Maryland,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,64,High school graduate (Grade 12 with diploma or GED certificate),No,Native American/American Indian,"$20,000 to under $30,000"
11,Landline,Connecticut,Northeast,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,77,Two year associate degree from a college or university,No,White,"$20,000 to under $30,000"
12,Landline,Michigan,Midwest,Rural,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Employed part-time,Yes,Female,27,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
13,Landline,Vermont,Northeast,Suburban,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,65,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$100,000 to under $150,000"
14,Landline,New York,Northeast,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Female,65,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
15,Landline,Michigan,Midwest,Suburban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","Yes, have done this",Employed full-time,Yes,Female,53,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$40,000 to under $50,000"
16,Landline,Georgia,South,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,53,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$20,000 to under $30,000"
17,Landline,New York,Northeast,Rural,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,Yes,Male,39,Two year associate degree from a college or university,No,White,"$50,000 to under $75,000"
18,Landline,Florida,South,Suburban,No,NA,NA,NA,NA,Not employed,No,Male,57,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$50,000 to under $75,000"
19,Landline,New Jersey,Northeast,Suburban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Employed part-time,Yes,Female,44,"Some college, no degree (includes some community college)",No,White,(DO NOT READ) Donêt know/Refused
20,Landline,Michigan,Midwest,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,60,Two year associate degree from a college or university,No,White,"$150,000 or over"
21,Landline,Georgia,South,Suburban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Female,49,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
22,Landline,Rhode Island,Northeast,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,No,Female,60,"Some college, no degree (includes some community college)",No,White,"$75,000 to under $100,000"
23,Landline,Georgia,South,Urban,Yes,"Yes, smartphone","Yes, have done this","Yes, have done this","Yes, have done this",Not employed,No,Female,70,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),No,Black or African-American,"$10,000 to under $20,000"
24,Landline,Indiana,Midwest,Rural,Yes,Not sure/Don't know,"No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,68,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$10,000 to under $20,000"
25,Landline,Florida,South,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,73,"Some college, no degree (includes some community college)",No,White,"$30,000 to under $40,000"
26,Landline,Michigan,Midwest,Suburban,No,NA,NA,NA,NA,Employed full-time,No,Female,60,Two year associate degree from a college or university,No,White,"Less than $10,000"
27,Landline,New Jersey,Northeast,Suburban,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Not employed,No,Female,75,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
28,Landline,Pennsylvania,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,(DO NOT READ) Donêt know/Refused,Male,NA,Don't know/Refused (VOL.),(DO NOT READ) Donêt know/Refused,(DO NOT READ) Donêt know/Refused,(DO NOT READ) Donêt know/Refused
29,Landline,Ohio,Midwest,Urban,No,NA,NA,NA,NA,Not employed,No,Female,88,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,"$40,000 to under $50,000"
30,Landline,New York,Northeast,Urban,Yes,"No, not a smartphone","No, have not done this","No, have not done this","No, have not done this",Employed full-time,No,Male,73,Two year associate degree from a college or university,No,White,"$75,000 to under $100,000"
31,Landline,New York,Northeast,Suburban,No,NA,NA,NA,NA,Not employed,No,Female,72,High school graduate (Grade 12 with diploma or GED certificate),No,White,"$50,000 to under $75,000"
32,Landline,Kentucky,South,Urban,No,NA,NA,NA,NA,Employed full-time,No,Male,21,Two year associate degree from a college or university,No,Asian or Pacific Islander,"$40,000 to under $50,000"
33,Landline,Vermont,Northeast,Rural,Yes,"No, not a smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed part-time,Yes,Female,33,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,White,"$30,000 to under $40,000"
34,Landline,Connecticut,Northeast,Suburban,Yes,"Yes, smartphone","No, have not done this","No, have not done this","No, have not done this",Not employed,No,Male,71,"Postgraduate or professional degree, including masterês, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",No,White,"$50,000 to under $75,000"
35,Landline,Arkansas,South,Urban,Yes,"Yes, smartphone","Yes, have done this","No, have not done this","No, have not done this",Employed full-time,Yes,Female,40,"Four year college or university degree/Bachelorês degree (e.g., BS, BA, AB)",No,Black or African-American,"$75,000 to under $100,000"
36,Landline,Florida,South,Urban,Yes,"Yes, smartphone",(DO NOT READ) Don't know,"No, have not done this","No, have not done this",Not employed,No,Female,20,Two year associate degree from a college or university,No,Mixed race,"$100,000 to under $150,000"
